Landmark,Alternate Names,Construction,Destruction,Maps Photo Should Appear on,Construction or Demolition Notes,Manner of Destruction,Test Photo File Name,Image File Name,Image Type,Year of Image,Use Image?,Usage notes,Image Download Location,Image Credit at Download Location,Download URL,Description,X Location,Y Location,Notes,Alternate Image 1 File Name,Alternate Image 1 Image Type,Year of Alternate Image 1,Use Alternate Image 1?,Alternate Image 1 Usage Notes,Alternate Image 1 Download Location,Alternate Image 1 Credit at Download Location,Alternate Image 1 Download URL,Alternate Image 2 File Name,Alternate Image 2 Image Type,Year of Alternate Image 2,Use Alternate Image 2?,Alternate Image 2 Usage Notes,Alternate Image 2 Download Location,Alternate Image 2 Credit at Download Location,Alternate Image 2 Download URL,x,y
Downtown Railroad Bridge (1st),,"1859","1862",none,,demolished,testimage4.png,downtown-railroad-bridge-1st-1860.jpg,illustration,"1860",yes,before 1928,Nashville History blog,The Lincoln Foundation Collection,https://nashvillehistory.blogspot.com/2016/08/louisville-nashville-railroad-bridge.html,"The Louisville & Nashville Railroad built Nashville's first railroad bridge, whch opened in late 1859. The bridge comprised three segments: two fixed sections at the ends and a pivoting center section to allow taller river traffic to pass. In February 1862, as Union forces approached Nashville, the Confederate Army burned the wooden bridge but failed to destroy it completely. Soon after the US Army had control of Nashville, the bridge was rebuilt and fortified. ","5123","5347",,,,,,,,,,,,,,,,,,53.094073,46.214771
Drouillard House,,"1894",,"1903, 1929, 1952",,,testimage2.png,drouillard-house-ca1930.jpg,photo,ca 1930,yes,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3312,,,,,,,,,,,,,,,,,,,,,,
Duncan Hotel,,"1889",ca1972,"1903, 1929, 1952",,demolished,testimage3.png,duncan-hotel-1932.jpg,photo,"1932",yes,,WNPT,,https://www.wnpt.org/nashville-20th-century-in-photographs/volume-1/buildings/,,,,Southeast corner of Fourth Avenue north and Cedar (Charlotte) Street,,,,,,,,,,,,,,,,,,
Dunham Cabin,,"1784",extant,"1871, 1903, 1929, 1952",,,testimage4.png,dunham-cabin.jpg,photo,,maybe,,Google Books,,https://www.google.com/books/edition/A_Guide_to_Historic_Nashville_Tennessee/CvF_CQAAQBAJ?hl=en&gbpv=1&dq=%22dunham+cabin%22+guide+to+historic+nashville&pg=PP21&printsec=frontcover,,,,5025 Harding Pike,,,,,,,,,,,,,,,,,,
Dutch Mill,,ca 1912,1940s,"1929",,burned,testimage1.png,dutch-mill.png,photo,,yes,,TeVA,,https://teva.contentdm.oclc.org/digital/collection/tpc/id/113/,,,,,,,,,,,,,,,,,,,,,,
Downtown Railroad Bridge (2nd),,"1862","1867",none,,demolished,testimage4.png,downtown-railroad-bridge-2nd-1864.jpg,photo,"1864",yes,before 1928,LoC,,https://www.loc.gov/item/2018667000/,"The 1862 Railroad Bridge was the Union Army's replacement of the earlier bridge severely damaged by retreating Confederates. It used the same piers and had the same general design, but being a wartime bridge it was heavily fortified. The bridge was essential to Nashville's role as the primary supply depot and base of operations for the Union Army west of the Appalachians. Shortly after the war, the Louisville & Nashville Railroad replaced the wooden bridge with a steel-truss bridge.","5129","5344",,,,,,,,,,,,,,,,,,53.155219,46.245504
East Nashville High School,,"1932",extant,"1952",,,testimage3.png,east-nashville-high-school-1940.jpg,photo,"1940 ",yes,,TeVA,,https://teva.contentdm.oclc.org/digital/collection/p15138coll28/id/581/rec/14,,,,,,,,,,,,,,,,,,,,,,
East Side of Public Square,,,"1974",none,,demolished,testimage4.png,east-side-public-square-1959.jpg,photo,"1959",yes,,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/62/,,,,,,,,,,,,,,,,,,,,,,
Eastland School,,,1950s,"1903, 1929, 1952",,demolished,testimage1.png,eastland-school.jpg,photo,"1950",yes,,Metro Archives on Facebook,,https://www.facebook.com/MetroNashvilleArchives/photos/a.209116102553658/1953716418093609/,,,,,,,,,,,,,,,,,,,,,,
East Branch Library,,"1919",extant,"1929, 1952",,,testimage2.png,east-carnegie-library.png,photo,"1955",ask,"1928 or later, author and copyright uncertain",Nashville Library,,https://library.nashville.org/locations/east-branch,"The East Branch Library is one of two surviving public libraries funded by Andrew Carnegie in Nashville, and the last to be built. In 2000 alterations dating to 1963 were reversed, bringing the building closer to its original design.","5634","5178",,,,,,,,,,,,,,,,,,58.303341,47.949873
Edgefield Baptist Church (1st),Seventh Day Adventist Memorial Church,"1875",,,,demolished,testimage4.png,edgefield-baptist-church-1st.jpg,photo,,yes,before 1928,Nashville History Blog,Tim Kernell,https://nashvillehistory.blogspot.com/2019/01/,"When the Edgefield Baptist congregation built its church at Fatherland and 5th Streets in the 1870s, it was the first Baptist church in East Nashville. Edgefield Baptist owned the church until 1905, when it was sold to a Seventh Day Adventist congregation. The Baptists built a new church two blocks away at 7th and Russell Streets. The Seventh Day Adventist congregation used the old church for many decades, but it was demolished sometime after 1950.","5402","5391",SE corner of Fatherland and 5th,,,,,,,,,,,,,,,,,55.940887,45.772148
Edgewood,,"1854",,"1871, 1903, 1929",,assumed demolished,testimage3.png,edgewood.jpg,photo,,yes,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3115,,,,,,,,,,,,,,,,,,,,,,
Elks Lodge,,,"1971","1903, 1929, 1952",,demolished,testimage4.png,elks-lodge-ca1959.jpg,photo,circa 1959,yes,,Nashville Library,,https://cdm15769.contentdm.oclc.org/digital/collection/nr/id/60/rec/1,,,,,elks-lodge-1963.jpg,,"1963",no,,Indiana University,,http://webapp1.dlib.indiana.edu/cushman/results/detail.do?pnum=P12926,,,,,,,,,,
Elm Street Methodist Church,,"1871",extant,"1871, 1903, 1929, 1952",,,testimage3.png,elm-street-methodist-church.png,photo,,,,Nashville Post,,https://www.nashvillepost.com/business/retail/fall-2020-opening-eyed-for-dylan-distillery/article_08a941ef-1a56-586f-9cb6-3d8d1b864fbd.html,,,,,,,,,,,,,,,,,,,,,,
Ensworth,,circa 1860,"1947","1871, 1903, 1929",,,testimage4.png,ensworth.jpg,photo,, ,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3117,,,,,,,,,,,,,,,,,,,,,,
Edgefield Baptist Church (2nd),,"1907",extant,"1929, 1952",,,testimage2.png,edgefield-baptist-church.jpg,photo,"2001",ask,"1928 or later, author and copyright uncertain",Nashville Library,"Historic Nashville, Inc.",https://digital.library.nashville.org/digital/collection/nr/id/788/,This structure is the second home of Edgefield Baptist Church.,"5469","5328",700 Russell Street,,,,,,,,,,,,,,,,,56.623119,46.416228
Evergreen Place,,"1795","2005","1871, 1903, 1929, 1952",,demolished,testimage1.png,evergreen-place.jpg,photo,,ask,"date, copyright and author uncertain",Nashville's Inglewood Google preview,Metro Archives,https://books.google.com/books?id=C3hb_OZYbucC&pg=PA13&lpg=PA13&dq=evergreen+nashville+craighead&source=bl&ots=e6VE-16Ar_&sig=ACfU3U0AtsrgNSx9JWLPcx5fgqua_WXNmg&hl=en&sa=X&ved=2ahUKEwjv1onhz9D0AhWgjokEHa-TAowQ6AF6BAgPEAM#v=onepage&q=evergreen%20nashville%20craighead&f=false,"In 1785 Thomas Craighead (1753�1824), a Presbyterian minister, acquired land on both sides of what is now Gallatin Pike. Craighead, believed to have been the first preacher to reside in Davidson County, lived in a log house on the property. About 10 years later he built a brick house a little to the north of the log house. In the 1830s the log home was enlarged, covered in clapboard and eventually named Evergreen Place. From 1981 until 1996 the house served as the Jim Reeves Museum. On September 22nd, 2005, a developer waited until after dark and bulldozed Evergreen Place despite its historic status to make room for a Home Depot.
A stone church was built on Craighead's land and was used not just for his services but also as a school, Davidson Academy. The academy moved into the city in 1806, and was first renamed Cumberland College and later the University of Nashville. In 1875 the University of Nashville was broken into Peabody University, Montgomery Bell Academy, and the Vanderbilt Medical and Dental Departments, all of which can trace their ancestry back to this patch of land in Inglewood. ","6072","3916",,,,,,,,,,,,,,,,,,62.746990,60.831910
Exchange Building,,"1874",extant,"1903, 1929, 1952",,,testimage2.png,exchange-building.jpg,photo,,yes,"date, copyright and author uncertain",TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3118,"The Exchange Building was originally a newspaper office building, and was converted into residential lofts in 2005.",,,,,,,,,,,,,,,,,,,,,
Fairfield,,pre 1871,"1905","1871, 1903",,demolished,testimage3.png,fairfield-1894.jpg,photo,"1894",yes,before 1928,Nashville History blog,Artwork of Nashville,https://nashvillehistory.blogspot.com/2017/02/fairfield-home-of-william-b-lewis.html?m=1,"William B. Lewis (1784�1866) lived on the Fairfield property just off Lebanon Pike from 1813 until his passing in 1866. The smaller house or wing peaking out from behind the main structure may represent an earlier house. After Lewis's death the property passed to his son-in-law, the French ambassador to the US during the Jackson adminstration, who seems to have been living in France during this period. After his death in 1878 the house was sold at auction and passed through two more owners until it was purchased in 1886 to house City Hospital, then run by the Medical Department of the University of Nashville. The hospital departed for the much larger, purpose-built building on Rolling Mill Hill in 1890. The house became a Catholic hospital, St. Margaret's, for the next four years, and after that housed St. Bernard Academy for a year. The city acquired the old house in 1903 and had it demolished two years later so that Lipscomb School could be erected on the land. Sometime after 1960 Lipscomb School was torn down to make way for I-40 and the Hermitage Avenue off-ramp.","5576","5787",,,,,,,,,,,,,,,,,,57.723392,41.736816
Fanning Orphan School,,"1884",circa 1943,"1903, 1929",,demolished,testimage1.png,fanning-orphan-school-1894.png,photo,"1894",yes,,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/2365/rec/7https://digital.library.nashville.org/digital/collection/nr/id/2365/rec/https://digital.library.nashville.org/digital/collection/nr/id/2365/rec/766,,,,,,,,,,,,,,,,,,,,,,
Father Ryan High School,,"1929","1995","1929, 1952",,demolished,testimage2.png,father-ryan-high-school.jpg,photo,,,,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/2239/rec/5,,,,,,,,,,,,,,,,,,,,,,
Fall School,,"1898",extant,"1903, 1929, 1952",,,testimage4.png,fall-school-1949.jpg,photo,"1949",yes,"1928 or later, author and copyright uncertain",Nashville Library,,https://cdm15769.contentdm.oclc.org/digital/collection/nr/id/153/rec/1,"Fall School is the oldest school building still in existence in Nashville. Named for businessman, minister and member of the Board of Education Philip S. Fall (1798�1890), the building represented a departure from earlier schools in having separate classrooms instead large common rooms. Closed in 1970, Fall School was renovated for office space in the early 1980s and is now the Nashville base of the Church of Scientology.","5129","6018",,,,,,,,,,,,,,,,,,53.168153,39.370734
Federal Reserve Building,,"1922",extant,"1929, 1952",,,testimage1.png,federal-reserve-building.jpg,photo,"2016",,,LoopNet,,https://www.loopnet.com/Listing/226-3rd-Ave-N-Nashville-TN/3646854/,,,,,,,,,,,,,,,,,,,,,,
Felix Compton House,,"1844","1984","1871, 1903, 1929, 1952",,demolished,testimage2.png,felix-compton-house-1973.jpg,photo,"1973",,,Battle of Nashville Trust,,https://www.battleofnashvilletrust.org/shys-hill/,,,,,,,,,,,,,,,,,,,,,,
Fatherland,,"1855","1952","1903, 1929, 1952",,demolished,testimage3.png,fatherland-1.png,illustration,"1860",yes,before 1928,TSLA,,[1860 map],"John Shelby (1785-1859) was a doctor, military surgeon, businessman, farmer and Nashville's postmaster from 1849 to 1852. In 1817 he purchased land across the river from downtown Nashville and moved there with his wife and family from Sumner County. The following year he acquired 640 more acres in what would become known as Edgefield. His first significant house and the house where he lived most of his adult life, Shelby Hall, was built in the early 1820s and sat in the middle of what is now Woodland Street between 2nd and 3rd. At some point Shelby took to calling this house Fatherland.
In 1855 Shelby, at 70 years of age, began construction of another house, designed by Adolphus Heiman (1809-1862). It was built as a present to his daughter Priscilla and her husband John Phelan, and he named it Fatherland as well. At about the same time, the first Fatherland was demolished and the property subdivided. The second Fatherland was occupied by the Florence Crittenton Home for Unwed Mothers in 1919 and demolished in 1952.","5452","5470",,fatherland-2.png,photo,1890s,yes,before 1928,East Nashville Book (Fleenor),,https://books.google.com/books?id=i-SfbeawKE4C&pg=PA11&lpg=PA11&dq=%22fatherland%22+1855+nashville+%22john+shelby%22&source=bl&ots=V0A8dXqHRT&sig=ACfU3U1tYDtTl7raxtKB86jLYxsUO0G85A&hl=en&sa=X&ved=2ahUKEwiL0eeLuLr1AhVfRjABHSpECO0Q6AF6BAgCEAM#v=onepage&q=%22fatherland%22%201855%20nashville%20%22john%20shelby%22&f=false,fatherland-3.png,,,yes,before 1928,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=586,56.452433,44.967458
First Baptist Church (1st),German Lutheran Church,"1841",1950s,"1903, 1929, 1952",,demolished,testimage3.png,first-baptist-church-1st-1859.jpg,illustration,"1859",yes,before 1928,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/292/,"The Baptist Church of Nashville was founded in 1820 and very quickly assembled the resources needed to build an impressive brick edifice on Church Street where the public library now stands. In 1826 Philip S. Fall (1798�1890), a Campbellite or follower of the Restoration Movement, was hired by the church. He had by 1828 brought most of the congregation around to the new doctrine, and in that year a resolution was adopted nullifying the church's previous constitution and rules of order. Thus, the Baptist Church of Nashville became Spring Street Christian Church. 
The opponents of Campbellism initially remained with the church but in 1830 left to form the First Baptist Church of Nashville. By 1841 they had built a Gothic Revival church on 5th Avenue North (pictured above), which served the congregation until it moved to Broad Street in 1886. The 5th Avenue North church was demolished in the 1950s and replaced by the Commerce Union Bank Building. ","5087","5630",,,,,,,,,,,,,,,,,,52.732282,43.327387
First Baptist Church (2nd),,"1886","1967","1903, 1929, 1952",,demolished,testimage4.png,first-baptist-church-2nd-1956.png,photo,"1956 ",yes,"1928 or later, author and copyright uncertain",TeVA,,https://teva.contentdm.oclc.org/digital/collection/p15138coll28/id/781/rec/1,"The Gothic Revival building at the corner of Broad Street and Seventh Avenue served the First Baptist Church for almost 80 years, but as early as the 1950s the building was unable to hold the congregation. In 1967 a decision was made to replace the building but to keep the 1886 tower and build a larger church around it. The new building was finished in 1970.","5087","5630",,,,,,,,,,,,,,,,,,52.732282,43.327387
Warner School (1st),,"1892","1916","1903",,burned,testimage1.png,first-warner-school-1st.jpg,photo,,yes,,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/7753/,,,,,,,,,,,,,,,,,,,,,,
Meigs School (1st),,"1883","1933","1903, 1929",,Hit by tornado,testimage1.png,meigs-school-1st.jpg,photo,,yes,before 1928,Nashville History blog,,https://nashvillehistory.blogspot.com/2014/04/meigs-school.html,"Meigs School, at the time of its construction the only school for Black children in Nashville east of the river, replaced an earlier school in a rented building on Spring Street. Named for the second superintendent of Nashville public schools, James L. Meigs (ca. 1827�1891), it was designed to hold grades 1 through 8. In the mid 1880s, the failure of the city to provide any schooling for Black children beyond the 8th grade spurred a campaign for a new high school. Parents showed up at the all-white high school asking that their children be enrolled but were turned away. Meetings were held and parents petitioned the school board for a high school for their children. Responding to pressure, in 1886 the school board set aside the second floor of the newly built Meigs school as the first African-American high school in Nashville. In March 1933 Meigs School was destroyed by a tornado. A new school building opened on the same site the following year.","5446","5235",,,,,,,,,,,,,,,,,,56.386720,47.364315
Cravath Hall,Erastus Milo Cravath Library,"1930",extant,"1952",,,testimage3.png,cravath-hall.jpg,tinted photo,,yes,public domain,Wikipedia,,"https://commons.wikimedia.org/wiki/File:Fisk_University_Library,_Nashville,_Tenn_(74045).jpg","Fisk's Cravath Library replaced the 1909 library building built with funds from Andrew Carnegie, which by the 1920s was already deemed inadequate. Henry Hibbs (1882�1949) was chosen to design the new library, a remarkable fusion of Art Deco and Gothic. The Cravath Library served as Fisk's library from 1930 until 1969.","4649","5458",Erastus Milo Cravath-Memorial Library,cravath-hall-1969.png,photo,"1969 ",,,TeVA,,https://teva.contentdm.oclc.org/digital/collection/p15138coll28/id/6695/rec/2,cravath-hall-1955.png,photo,"1955 ",yes,author and copyright status uncertain,TeVA,,https://teva.contentdm.oclc.org/digital/collection/p15138coll28/id/6690/rec/1,48.261115,45.072086
Fisk Memorial Chapel,,"1892",extant,"1903, 1929, 1952",,,testimage4.png,fisk-memorial-chapel-ca1901.png,photo,ca 1901,yes,before 1928,LoC,,https://www.loc.gov/resource/det.4a08980/,"General Clinton B. Fisk (1828�1890) was an assistant commissioner of the Freedman's Bureau, and in that capacity helped found free schools for children in the South. Working with the American Missionary Association, he endowed the school with $30,000 and arranged for the use of abandoned army barracks as the school's first campus. Fisk left a bequest to Fisk University, which was used to erect the chapel in his memory.","4662","5433",,,,,,,,,,,,,,,,,,48.393243,45.327373
Theological Hall/Bennett Hall,,"1891",Late 1960s,"1871, 1903, 1929, 1952",,demolished,testimage1.png,fisk-theological-hall-1900.jpg,photo,"1900",yes,before 1928,LoC,,https://www.loc.gov/item/2001705785/,"Theological Hall, later renamed for Reverend Henry Bennett, was built partly with funds raised by the the Jubilee Singers. Bennett was a professor of theology and a pastor at Fisk from 1867 to 1884.","4676","5500",Later known as Bennett Hall,,,,,,,,,,,,,,,,,48.537338,44.644286
Fletcher Baxter Building,,,extant,"1903, 1929, 1952",,,testimage3.png,fletcher-baxter-building.jpg,photo,, ,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=2962,,,,,,,,,,,,,,,,,,,,,,
Fisk University campus at the Railroad Hospital,,"1862",,"1871",,,testimage2.png,fisk-university-campus-at-rh-1868.png,illustration,"1868",yes,before 1928,TeVA,,https://teva.contentdm.oclc.org/digital/collection/reconaa/id/171/rec/21,"Fisk's first campus (1866�1876) was located in an abandoned army hospital at Hynes Street and 12th Avenue North, sometimes referred to as the Railroad Hospital. The site is next door to where the Nashville Electric Service building now stands.","4911","5605",,fisk-university-campus-at-rh.jpg,illustration,,yes,before 1928,HBCU Digital Library,,https://hbcudigitallibrary.auctr.edu/digital/collection/FUPP/id/571/,,,,,,,,,50.936495,43.578491
Fogg School,,"1875",ca1910,"1903",,demolished,testimage4.png,fogg-school-ca1900.jpg,photo,ca1900,yes,before 1928,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=27519,"When the Civil War ended and schools reopened, Hume School was too small to accommodate the students assigned to it. A building on 7th Avenue South that had been built by the army as a mess hall was purchased and moved to the corner of 8th Avenue and Broadway, next door to Hume School. Eventually the former mess hall was no longer fit for use, and in 1875 a permanent structure, Fogg High School, was built to replace it. The high school students that formerly attended Hume School moved to the new building, with Hume retaining grades 1 through 8. Fogg High School was named for Francis Fogg (1795�1880), a prominent attorney and an early school board member. Both Hume and Fogg schools were demolished in 1910 or 1911 to clear the property for Hume-Fogg High School.","5058","5620",NE corner of 8th and Broad,fogg-school-ca1900-2.jpg,photo,circa 1900,ask (watermarked),before 1928,TSLA,,https://tnsos.org/tsla/imagesearch/images/27518.jpg,,,,,,,,,52.436272,43.428745
Fourth and First Bank,,"1926","1973","1929, 1952",,,testimage2.png,fourth-and-first-bank.jpg,photo,,,,Historic Nashville,, ,,,,"Fourth Avenue, north, and Union Street",,,,,,,,,,,,,,,,,,
Fort Negley,,"1862",extant,"1871, 1903, 1929, 1952",,,testimage1.png,fort-negley.png,tinted photo,,ask,date unknown,TeVA,Curt Teich & Co.,https://teva.contentdm.oclc.org/digital/collection/tpc/id/101,"Kirkpartrick's Hill, Currey's Hill, and St. Cloud Hill dominated the turnpikes approaching Nashville from the south and southeast, especially Franklin Pike, and for this reason the US Army fortified all three hills soon after they occupied the city in February 1862. The most impressive structure, Fort Negley, went to St. Cloud Hill.
Nashville, the logistics hub for US military operations west of the Appalachians, was critical to the Union effort and so became the most heavily fortified city in the country apart from Washington DC. Fort Negley, the biggest inland stone fortification constructed during the war, was a symbol of the importance attached to Nashville.
Approximately 2700 laborers, mainly runaway slaves, built Fort Negley between September and December 1862. A quarter of the workers died during construction due to the harsh conditions. Fort Negley's artillery was used during the Battle of Nashville in 1864, but otherwise the fort played no role in the battle. 
Initially named for General James S. Negley (1826�1901), the fort was renamed Fort Harker in 1865 due to General Negley's questionable performance at the Battle of Chickamauga, but the new name never took hold. 
The US Army abandoned the fort in September 1867, and after the army departed, the hill resumed its role as a popular picnic spot for Nashvillians. During Reconstruction the fort was also the site of Ku Klux Klan meetings.
By the 1930s the fort had deteriorated badly. The Works Progress Adminstration (WPA) financed the restoration of the fort, which reopened in 1938. After the WPA restoration, little effort was made at further upkeep and the fort again decayed. The WPA's replica stockade was torn down in the 1960s, and the fort was closed to the public. Beginning in 2002 the fort was again restored, this time by the City of Nashville, and reopened to the public in 2004.","5193","5953",,,,,,,,,,,,,,,,,,53.819744,40.035147
Furman Hall,,"1907",extant,"1929, 1952",,,testimage4.png,furman-hall-ca1930.jpg,photo,ca 1930,,,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/851/rec/338,,,,,,,,,,,,,,,,,,,,,,
Gates & Pohlman Building,,,,,,,testimage2.png,gates-and-pohlman-building.jpg,photo,, ,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3030,,,,NE (?) corner of College and Union,,,,,,,,,,,,,,,,,,
Gay Street Synagogue,,,,,,,,gay-street-synagogue.jpg,photo,,,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3198,,,,,,,,,,,,,,,,,,,,,,
Frederick Stump House,,ca 1785,extant,"1871, 1903, 1929, 1952",,,testimage3.png,frederick-stump-house.jpg,photo,,no,Attribution-ShareAlike 4.0,Wikipedia,Christina Blust,https://en.wikipedia.org/wiki/Frederick_Stump_House,"Frederick Stump (1724�1822) was one of the first European settlers in Nashville, arriving with James Robertson's overland party at French Lick, as Nashville was then called, in December 1779. At some point in the 1780s Stump built this two-story house out of cedar logs, and in 1789 he opened a tavern in the structure. He also operated a gristmill and a sawmill on the same property.","4268","3973",4949 Buena Vista Pike,,,,,,,,,,,,,,,,,44.346188,60.210589
Gerst Brewery,,"1890","1963","1903, 1929, 1952",,demolished,testimage4.png,gerst-brewery-1.jpg,photo,,yes,likely before 1928,Brookston Beer Bulletin,,https://brookstonbeerbulletin.com/historic-beer-birthday-william-h-gerst/,"In 1859, to meet demand for a fresher, locally brewed product, German immigrant Jacob Stiefel (or Stifel) began brewing beer at the corner of 6th Avenue South and Mulberry Street. Except for interruptions during the Civil War and Prohibition, beer was brewed at this location until 1954. The brewery underwent a series of ownership and name changes before being bought by Moerlein Brewing of Cincinnati in 1890. Moerlein razed the brewery they had purchased and built the much larger facility shown above. In 1893 William Gerst (1847�1933), who had moved to Nashville from Cincinnati to supervise production for Moerlein, bought his employer's interest in the companyand renamed the company the William Gerst Brewing Company. During Prohibition the company changed its name to the Gerst Bottling Works and survived by producing nonalcoholic beverages and Orange Crush. Beer production resumed when Prohibition ended, but competition from national brands drove Gerst out of business in 1954. The brewery complex was demolished and replaced by a warehouse in 1963.","5197","5829",Corner of 6th Ave S and Mulberry St.,gerst-brewery-2.jpg,photo,,yes,before 1928,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3223,,,,,,,,,53.858167,41.300030
Glen Leven,,"1857",extant,"1871, 1903, 1929, 1952",,,testimage3.png,glen-leven-1973.jpg,photo,"1973",,,Nashville Library,,https://cdm15769.contentdm.oclc.org/digital/collection/nr/id/2273/rec/1,,"5261","6899",,,,,,,,,,,,,,,,,,54.531539,30.387494
Glen Echo,,ca 1795,1960s,"1871, 1903, 1929, 1952",,,testimage2.png,glen-echo.jpg,photo,,ask,"1928 or later, copyright unknown",Nashville History blog,Betty Hadley,https://nashvillehistory.blogspot.com/2008/09/inglewood-trivia.html,"Glen Echo was the second home of Thomas Craighead (1753-1824) in Davidson County, built just a few hundred feet north of his first home, a log cabin, which later became known as Evergreen Place. Glen Echo was demolished to make way for Briley Parkway.","6073","3860",between KMart and Briley Parkway,,,,,,,,,,,,,,,,,62.756116,61.403130
Glen Leven Presbyterian Church,Community Baptist Church,ca 1891,"2004","1903, 1929, 1952",,,testimage4.png,glen-leven-presbyterian-church-2001.jpg,photo,,yes,"1928 or later, copyright unknown",Nashville Library,,https://cdm15769.contentdm.oclc.org/digital/collection/nr/id/768/rec/2,"During its existence the church at 817 South Douglas Avenue was known as Jesus is the Way Church, Community Baptist Church, Community Missionary Baptist Church and Glen Leven Presbyterian Church. It was demolished in 2004 for the Waverly Place Townhomes.","5095","6270",817 S. Douglas Avenue,,,,,,,,,,,,,,,,,52.826168,36.799592
Glenoak,,"1857",extant,"1871, 1903, 1929, 1952",,,testimage2.png,glenoak.jpg,photo,,,,Wikipedia,,"https://en.wikipedia.org/wiki/Glen_Oak_(Nashville,_Tennessee)",,,,2012 21st Avenue South,,,,,,,,,,,,,,,,,,
Glendale Park Casino,,ca 1901,1930s,"1903, 1929",,,testimage1.png,glendale-park-casino-ca1910.jpg,tinted photo,circa 1910,yes,before 1928,Ebay,,https://www.ebay.com/itm/264529127431,"Glendale Park opened by the Nashville Railway and Light Company in 1887 at the end of a trolley line. The company hoped the park would increase ridership on its streetcar lines. Along with a roller rink, a merry-go-round, a zoo, and a shooting gallery, the park operated a casino. The growing use of cars and the Great Depression combined to close the park in 1932.","4892","7064",,,,,,,,,,,,,,,,,,50.770681,28.696335
Governor's Mansion (1st),,circa 1890,circa 1921,,,,testimage3.png,governors-mansion-1st.jpg,photo,,yes,before 1928,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=28782,"Tennessee's first official home for its governors was built around 1890 by banker John P. Williams (1848�1921). Six governors lived in the mansion, spanning the years 1907 to 1921. The legislature in 1919 decided to build a memorial to Tennesseans that served in WWI, and the site selected for what became War Memorial Auditorium included the governor's mansion. A house on West End Avenue deemed suitable as a home for the governor was rented in 1921 and the first governor's mansion was razed.","5028","5511",,,,,,,,,,,,,,,,,,52.128163,44.539876
Governor's Mansion (2nd),,circa 1910,"1979","1929, 1952",,demolished,testimage4.png,governors-mansion-2nd.jpg,photo,,yes,"1928 or later, copyright unknown",Nashville Library,"Charles Wesley Warterfield, Jr.",https://cdm15769.contentdm.oclc.org/digital/collection/nr/id/14/rec/1,"The second governor's mansion of Tennessee was built by Christopher Cheek (1842�1915), a wealthy wholesale grocer, and served as the official governor's residence from 1921 to 1949. The state at first rented the house before purchasing it in 1923. By the late 1940s a number of significant repairs were needed, and in 1947 the legislature determined that the house was ""no longer suitable for occupancy as a residence for the chief executive of the state"". The last governor to live in the house was Jim McCord (1879�1968), who left office in January 1949. The structure was replaced in 1979 by a Popeye's Fried Chicken restaurant, which was in turn replaced in the late 1990s by the Caterpillar Financial Services building.","4674","5837",,,,,,,,,,,,,,,,,,48.523403,41.206856
Grassmere,,"1810",extant,"1871, 1903, 1929, 1952",,,testimage2.png,grassmere.png,photo,, ,,TeVA,,https://teva.contentdm.oclc.org/digital/collection/p15138coll31/id/518/rec/46,,,,,,,,,,,,,,,,,,,,,,
Governor's Mansion (3rd),,"1931",extant,"1952",,,testimage1.png,governors-mansion-3rd-1955.png,photo,"1955 ",yes,"1928 or later, copyright unknown",TeVA,,https://teva.contentdm.oclc.org/digital/collection/p15138coll28/id/557/rec/26,"Far Hills, the house that became Tennessee's third and current executive residence, was built for William Ridley Wills (1871�1949), the founder of the National Life and Accident Insurance Company. The previous governor's residence having been declared unsuitable for occupancy in 1947, the state began looking for a replacement. Three homes then on the market were considered before the state purchased the Wills home in 1949. ","5172","7193",,,,,,,,,,,,,,,,,,53.629326,27.386737
Haynes School,,"1931",,,,,testimage3.png,haynes-school-1931.png,photo,"1931", ,,TeVA,,https://teva.contentdm.oclc.org/digital/collection/schoolhouses/id/27/rec/41,,,,,,,,,,,,,,,,,,,,,,
Head School,,"1904",,"1929, 1952",,,testimage4.png,head-school-1949.jpg,photo,"1949",yes,,Nashville Library,Metro Archives,https://digital.library.nashville.org/digital/collection/nr/id/151/rec/434,,,,512 16th avenue north,,,,,,,,,,,,,,,,,,
