Landmark,Also Known as,Construction,Destruction,Maps Photo Should Appear on,Construction or Demolition Notes,Manner of Destruction,Test Photo File Name,Image File Name,Year of Image,Use Image?,Usage notes,Image Download Location,Image Credit at Download Location,Download URL,Description,X Location,Y Location,Notes,Alternate Image 1,Alternate Image 1 Year,Alternate Image 1 Download Location,Alternate Image 1 Credit at Download Location,Alternate Image 1 Download URL,Alternate Image 2,Alternate Image 2 Year,Alternate Image 2 Download Location,Alternate Image 2 Credit at Download Location,Alternate Image 2 Download URL,X,y
Confederate Soldiers Home,,1892,1936,"1903, 1929",,demolished,testimage2.png,confederate-soldiers-home-1908.jpg,1908,yes,,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/663/rec/535,"In 1856 the Jackson family sold 500 acres of the Hermitage property to the state, and in 1889 the legislature set aside 475 acres  for the Confederate Veterans Home. The same legislative act created the Ladies' Hermitage Association, which was instumemental in preserving the Hermitage. 700 Confederate veterans passed through the home in its 40-year existence. The building was demolished in two stages in 1936 and 1953. About 500 of the veterans are buried on the Hermitage grounds.",7976,4523,,confederate-soldiers-home.jpg,,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/663,,,,,,82.175,54.676
"County Courthouse, 3rd",,1830,1856,none,,burned,testimage1.png,county-courthouse-3rd-1.jpg,,,,Nashville Library,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=26137,"The first county courthouse was a log structure built in 1784. That humble structure was replaced by a second courthouse in 1802, and with that building already in disrepair by the 1820s, the third courthouse was built in 1830. Somehow the building housed not just local government but also the state supreme court, federal courts and the legislature. In April 1856 a fire that began in the Nashville Inn on the north side of the Public Square spread to the roof of the courthouse and eventually consumed it.",5121,5446,,county-courthouse-3rd-2.jpg,,Nashville History on Facebook,,https://www.facebook.com/nashvillehistory/photos/p.1599968730199028/1599968730199028/?type=3,,,,,,53.079,45.206
"County Courthouse, 4th",,1863,1935,"1871, 1903, 1929",,demolished,testimage4.png,county-courthouse-4th-2.jpg,,,,Influenza Archive,,https://www.influenzaarchive.org/cities/city-nashville.html#,"The fourth courthouse was designed by Francis Strickland (ca. 1818-1895), the son of the architect of the state capitol, William Strickland (1788-1854). A fourth floor was added in 1910. In 1935 this building was razed to make space for the fifth and current courthouse.",5123,5451,,county-courthouse-4th-1.jpg,,Nashville History on Facebook,,https://www.facebook.com/nashvillehistory/photos/bc.AbqXR2gntkn5woGw7RZU8O7rC1bfSktiPHWnlt_FvEpFRLGWVmc5nBBnUaNlEqtL22dTniI3VQHuanSyAOGOdqyRsvPUepCdYwf4litk8iBCfYTuNZ9skMA-wLpdg8NVqLMvWwOIKEb7TBQJqBMgiStw/1599377753591459/?opaqueCursor=AbqrlJswCFxr4QL1pGhPmc-83z9i1kWwVmCodZkgQD68ts2_K2lcIHBiMkDyaKaTjlb_kf7EWBo0AgQjRdU8ynn4wwRCJ0sNPrkDahdX0N1jEZP7q31AyVnp8Wxc0lMeTymGuDpb41K-UoRH2v9bXnGVlOIrci44qfT4BSGRI1t4zfK6Y8MF1uLHa3FTJLIB6KnoGoX11K7clC6hmfn1XAkRCIGKTn3FlwJhkr03cIhTMaDkiojFN29yroM3c3U-_GMnKqQ-0xb1VnQYbfiDBjTGA7KhqmK8hCZNrQ8J-_VPn279TKL02TkLgT-ebq8A-RIBzjJhhJ6q9Uc5EPsIcv7hOBGUIMiG4TzXi_9F476e0k9gvRk7ylnw-R5l18jwoNs5feY204rrMhxdK1yTDkrCF0vg6f6Gmx0JCePKnyQoa9-Ir7gciURp9C6NMUdUtWZ2xtfmghQGFB5NyuI1v-e6bp3BuIg_cuR5_z7WnX6NUpAM9ZbwuWOnuk689kHMX6AU_rA8ReVhc16eI3FrBj0d-9SivneLM07_TTNnb3M4g4O-y8q24o3hRUqieBfxacMDoBRL6uyQISqxyUUS2mP5,county-courthouse-4th-ca1930.jpg,ca1930,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/319/rec/568,53.099,45.155
"County Courthouse, 5th",,1937,extant,1952,,,testimage1.png,county-courthouse-5th-1937.jpg,1937,,,Living New Deal,,https://livingnewdeal.org/nashville-preserves-its-historic-courthouse/,"The sole structure in the modern Public Square, the eight-story, New Deal-era courthouse replaced the two city hall buildings, the market house, and the pre-1935 courthouse.",5117,5451,,,,,,,,,,,,53.038,45.155
Customs House,,1882,extant,"1903, 1929, 1952",,,testimage3.png,customs-house-1890s.jpg,1890s,,,Pinterest,,https://www.pinterest.com/pin/566820303072506197/,"First authorized in 1856, construction of the Customs House was delayed until 1877 by war and other factors. In that year President Rutherford Hayes laid the building's cornerstone. The building was expanded in 1905 and 1919. When it opened in 1882, it provided space for customs officials, federal courts, and the main post office. The post office decamped to a new building two blocks away in 1935, and after the federal courts moved next door in 1952, the building saw very little activity. After renovation in the 1980s, the federal bankruptcy court returned to the building. Three judges from the Sixth Circuit of the US Court of Appeals currently have offices in the building along with a number of federal agencies.",5067,5638,,,,,,,,,,,,52.529,43.25
Doctors Building,,1916,extant,"1929, 1952",,,testimage2.png,doctors-building.jpg,circa 1918,,,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/314/,"The Renaissance Reival Doctors Building, built on the site of the Edward Cole home, for many decades provided office space for medical professionals. The building was initially built as a three-story building, but in 1921 three more stories were added. In 2008 the building was converted into a hotel.",5033,5560,,,,,,,,,,,,52.182,44.044
Downtown Carnegie Library,,1904,1963,"1929, 1952",,demolished,testimage1.png,downtown-carnegie-library-1914.jpg,1914,yes,,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/785/,"The library at 8th Avenue and Union Street was Nashville's first purpose-built public library, replacing the Howard Library located inside the Watkins Institute building. It was also the first of its four Andrew Carnegie-funded public libraries. The building was razed in 1963 to clear the property for the construction of the Ben West Library.",5016,5550,,downtown-carnegie-library-1914.jpg,1914,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/785/,,,,,,52.008,44.146
Downtown Presbyterian Church,,1851,,"1871, 1903, 1929, 1952",,,testimage2.png,downtown-presbyterian-church-1920.jpg,1920,yes,,WNPT,,https://www.wnpt.org/nashville-20th-century-in-photographs/volume-1/buildings/,"The current structure is the third Presbyterian church on the site. The first was built in 1816 and burned down in 1832. Andrew Jackson was a member during this era. The second lasted until 1848 and was also claimed by fire. The third church was designed in Egyptian Revival style by the architect of the state capitol, William Strickland. During the Civil War, the church was used by the US Army as a stable and a hospital.",5100,5542,,downtown-presbyterian-church-1972.jpg,1972,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=15452,,,,,,52.865,44.228
"Downtown Railroad Bridge, 1st",,1859,1862,none,,demolished,testimage4.png,downtown-railroad-bridge-1st-1860.jpg,1860,yes,,Nashville History blog,The Lincoln Foundation Collection,https://nashvillehistory.blogspot.com/2016/08/louisville-nashville-railroad-bridge.html,"The Louisville & Nashville Railroad built Nashville's first railroad bridge, whch opened in late 1859. The bridge comprised three segments: two fixed sections at the ends and a pivoting center section to allow taller river traffic to pass. In February 1862, as Union forces approached Nashville, the Confederate Army burned the wooden bridge but failed to destroy it completely. Soon after the US Army had control of Nashville, the bridge was rebuilt and fortified. ",5123,5347,,,,,,,,,,,,53.098,46.216
"Downtown Railroad Bridge, 2nd",,1862,1867,none,,demolished,testimage4.png,downtown-railroad-bridge-2nd-1864.jpg,1864,yes,,LoC,,https://www.loc.gov/item/2018667000/,"The 1862 Railroad Bridge was the Union Army's replacement of the earlier bridge severely damaged by retreating Confederates. It used the same piers and had the same general design, but being a wartime bridge it was heavily fortified. The bridge was essential to Nashville's role as the primary supply depot and base of operations for the Union Army west of the Appalachians. Shortly after the war, the Louisville & Nashville Railroad replaced the wooden bridge with a steel-truss bridge.",5129,5344,,,,,,,,,,,,53.159,46.246
East Branch Library,,1919,extant,"1929, 1952",,,testimage2.png,east-carnegie-library-1955.png,1955,,,Flickr,,https://www.flickr.com/photos/nashvillepubliclibrary/33920960268/,"The East Branch Library is one of two surviving public libraries funded by Andrew Carnegie in Nashville, and the last to be built. In 2000 alterations dating to 1963 were reversed, bringing the building closer to its original design.",5634,5178,,,,,,,,,,,,58.301,47.954
"Edgefield Baptist Church, 1st",Seventh Day Adventist Memorial Church,1875,,"1903, 1929, 1952",,,,,,,,Nashville History Blog,Tim Kernell,https://nashvillehistory.blogspot.com/2019/01/,"When the Edgefield Baptist congregation built its church at Fatherland and 5th Streets in the 1870s, it was the first Baptist church in East Nashville. Edgefield Baptist owned the church until 1905, when it was sold to a Seventh Day Adventist congregation. The Baptists built a new church two blocks away at 7th and Russell Streets. The Seventh Day Adventist congregation used the old church for many decades, but it was demolished sometime after 1950.",5402,5391,SE corner of Fatherland and 5th,,,,,,,,,,,55.941,45.775
"Edgefield Baptist Church, 2nd",,1907,extant,"1929, 1952",,,testimage2.png,edgefield-baptist-church.jpg,,,,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/788/,This structure is the second home of Edgefield Baptist Church.,5469,5328,700 Russell Street,,,,,,,,,,,56.622,46.42
Erastus Milo Cravath Library,Cravath Hall,1930,extant,1952,,,testimage3.png,fisk-library.jpg,,,,Wikipedia,,"https://commons.wikimedia.org/wiki/File:Fisk_University_Library,_Nashville,_Tenn_(74045).jpg","Fisk's Cravath Library replaced the 1909 library building built with funds from Andrew Carnegie, which by the 1920s was already deemed inadequate. Henry Hibbs was chosen to design the new library, a remarkable fusion of Art Deco and Gothic. The Cravath Library served as Fisk's library from 1930 until 1969.",4649,5458,Erastus Milo Cravath-Memorial Library,fisk-library-1969.png,1969,TeVA,,https://teva.contentdm.oclc.org/digital/collection/p15138coll28/id/6695/rec/2,fisk-library-1955.png,1955,TeVA,,https://teva.contentdm.oclc.org/digital/collection/p15138coll28/id/6690/rec/1,48.254,45.061
Evergreen Place,,1795,2005,"1871, 1903, 1929, 1952",,demolished,testimage1.png,evergreen-place.jpg,,,,Nashville's Inglewood Google preview,,https://books.google.com/books?id=C3hb_OZYbucC&pg=PA13&lpg=PA13&dq=evergreen+nashville+craighead&source=bl&ots=e6VE-16Ar_&sig=ACfU3U0AtsrgNSx9JWLPcx5fgqua_WXNmg&hl=en&sa=X&ved=2ahUKEwjv1onhz9D0AhWgjokEHa-TAowQ6AF6BAgPEAM#v=onepage&q=evergreen%20nashville%20craighead&f=false,"In 1785 Thomas Craighead, a Presbyterian minister, acquired land on both sides of what is now Gallatin Pike. Craighead, believed to have been the first preacher to reside in Davidson County, lived in a log house on the property. About 10 years later he built a brick house a little to the north of the log house. In the 1830s the log home was enlarged, covered in clapboard and eventually named Evergreen Place. From 1981 until 1996 the house served as the Jim Reeves Museum. On September 22nd, 2005, a developer waited until after dark and bulldozed Evergreen Place despite its historic status to make room for a Home Depot.
A stone church was built on Craighead's land and was used not just for his services but also as a school, Davidson Academy. The academy moved into the city in 1806, and was first renamed Cumberland College and later the University of Nashville. In 1875 the University of Nashville was broken into Peabody University, Montgomery Bell Academy, and the Vanderbilt Medical and Dental Departments, all of which can trace their ancestry back to this patch of land in Inglewood. ",6072,3916,,,,,,,,,,,,62.746,60.834
Exchange Building,,1874,extant,"1903, 1929, 1952",,,testimage2.png,exchange-building.jpg,, ,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3118,"The Exchange Building was originally a newspaper office building, and was converted into residential lofts in 2005.",5127,5526,,,,,,,,,,,,53.141,44.391
Fairfield,,pre 1871,1905,"1871, 1903",,demolished,testimage3.png,fairfield-1894.jpg,1894,yes,,Nashville History blog,Artwork of Nashville,https://nashvillehistory.blogspot.com/2017/02/fairfield-home-of-william-b-lewis.html?m=1,"William B. Lewis lived on the Fairfield property just off Lebanon Pike from 1813 until his passing in 1866. The smaller house or wing peaking out from behind the main structure may represent an earlier house. After Lewis's death the property passed to his son-in-law, a French ambassador to the US during the Jackson adminstration, who seems to have been living in France during this period. After his death in 1878 the house was sold at auction and passed through two more owners until it was purchased in 1886 to house City Hospital, then run by the Medical Department of the University of Nashville. The hospital departed for the much larger, purpose-built building on Rolling Mill Hill in 1890. The house became a Catholic hospital, St. Margaret's, for the next four years, and after that housed St. Bernard Academy for a year. The city acquired the old house in 1903 and had it demolished two years later so that Lipscomb School could be erected on the land. Sometime after 1960 Lipscomb School was torn down to make way for I-40 and tthe Hermitage Avenue off-ramp.",5576,5787,,,,,,,,,,,,57.723,41.739
Fall School,,1898,extant,"1903, 1929, 1952",,,testimage4.png,fall-school-1949.jpg,1949,,,Nashville Library,,https://cdm15769.contentdm.oclc.org/digital/collection/nr/id/153/rec/1,"Fall School is the oldest school building still in existence in Nashville. The building represented a departure from earlier schools in having separate classrooms instead large common rooms. Closed in 1970, Fall School was renovated for office space in the early 1980s and is now the Nashville base of the Church of Scientology.",5129,6018,,,,,,,,,,,,53.165,39.379
Fatherland,,1855,1952,"1903, 1929, 1952",,demolished,testimage3.png,fatherland-1.png,1860,yes,,TSLA,,[1860 map],"John Shelby (1785-1859) was a doctor, military surgeon, businessman, farmer and Nashville's postmaster from 1849 to 1852. In 1817 he purchased land across the river from downtown Nashville and moved there with his wife and family from Sumner County. The following year he acquired 640 more acres in what would become known as Edgefield. His first significant house and the house where he lived most of his adult life, Shelby Hall, was built in the early 1820s and sat in the middle of what is now Woodland Street between 2nd and 3rd. At some point Shelby took to calling this house Fatherland.
In 1855 Shelby, at 70 years of age, began construction of another house, designed by Augustus Heiman (1809-1862). It was built as a present to his daughter Priscilla and her husband John Phelan, and he named it Fatherland as well. At about the same time, the first Fatherland was demolished and the property subdivided. The second Fatherland was occupied by the Florence Crittenton Home for Unwed Mothers in 1919 and demolished in 1952.",5452,5470,,fatherland-2.png,1890s,East Nashville Book (Fleenor),,https://books.google.com/books?id=i-SfbeawKE4C&pg=PA11&lpg=PA11&dq=%22fatherland%22+1855+nashville+%22john+shelby%22&source=bl&ots=V0A8dXqHRT&sig=ACfU3U1tYDtTl7raxtKB86jLYxsUO0G85A&hl=en&sa=X&ved=2ahUKEwiL0eeLuLr1AhVfRjABHSpECO0Q6AF6BAgCEAM#v=onepage&q=%22fatherland%22%201855%20nashville%20%22john%20shelby%22&f=false,fatherland-3.jpg,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=586,56.452,44.971
"First Baptist Church, 1st",German Lutheran Church,1841,1950s,"1903, 1929, 1952",,demolished,testimage3.png,first-baptist-church-1859.jpg,1859,yes,,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/292/,"The Baptist Church of Nashville was founded in 1820 and very quickly assembled the resources needed to build an impressive brick edifice on Church Street where the public library now stands. In 1826 a new pastor, a Campbellite or follower of the Restoration Movement, was hired by the church. He had by 1828 brought most of the congregation around to the new doctrine, and in that year a resolution was adopted nullifying the church's previous constitution and rules of order. Thus, the Baptist Church of Nashville became Spring Street Christian Church. 
The opponents of Campbellism initially remained with the church but in 1830 left to form the First Baptist Church of Nashville. By 1841 they had built a Gothic Revival church on 5th Avenue North (pictured above), which served the congregation until it moved to Broad Street in 1886. The 5th Avenue North church was demolished in the 1950s and replaced by the Commerce Union Bank Building. ",5087,5630,,,,,,,,,,,,52.733,43.332
"First Baptist Church, 2nd",,1886,1967,"1903, 1929, 1952",,demolished,testimage4.png,first-baptist-church-1956.png,1956, ,,TeVA,,https://teva.contentdm.oclc.org/digital/collection/p15138coll28/id/781/rec/1,"The Gothic Revival building at the corner of Broad Street and Seventh Avenue served the First Baptist Church for almost 80 years, but as early as the 1950s the building was unable to hold the congregation. In 1967 a decision was made to replace the building but to keep the 1886 tower and build a larger church around it. The new building was finished in 1970.",5087,5630,,,,,,,,,,,,52.733,43.332
Fisk Memorial Chapel,,1892,extant,"1903, 1929, 1952",,,testimage4.png,fisk-memorial-chapel-ca1901.png,ca 1901,,,LoC,,https://www.loc.gov/resource/det.4a08980/,"General Clinton B. Fisk was an assistant commissioner of the Freedman's Bureau, and in that capacity helped found free schools for children in the South. Working with the American Missionary Association, he endowed the school with $30,000 and arranged for the use of abandoned army barracks as the school's first campus. Fisk left a bequest to Fisk University, which was used to erect the chapel in his memory.",4662,5433,,,,,,,,,,,,48.385,45.316
Fisk University campus at the Railroad Hospital,,1862,,1871,,,testimage2.png,fisk-university-campus-at-rh-1868.png,1868,yes,,TeVA,,https://teva.contentdm.oclc.org/digital/collection/reconaa/id/171/rec/21,"Fisk's first campus (1866-1876) was located in an abandoned army hospital at Hynes Street and 12th Avenue North, sometimes referred to as the Railroad Hospital. The site is next door to where the Nashville Electric Service building now stands.",4911,5605,,fisk-university-campus-at-rh.jpg,,TeVA,,https://teva.contentdm.oclc.org/digital/collection/reconaa/id/171/rec/21,,,,,,50.937,43.583
Fogg School,,1875,ca1910,1903,,demolished,testimage4.png,fogg-school-ca1900.jpg,ca1900, ,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=27519,"When the Civil War ended and schools reopened, Hume School was too small to accommodate the students assigned to it. A building on 7th Avenue South that had been built by the army as a mess hall was purchased and moved to the corner of 8th Avenue and Broadway, next door to Hume School. Eventually the former mess hall was no longer fit for use, and in 1875 a permanent structure, Fogg High School, was built to replace it. The high school students that formerly attended Hume School moved to the new building, with Hume retaining grades 1 through 8. Both Hume and Fogg schools were demolished in 1910 or 1911 to clear the property for the new Hume-Fogg High School building.",5058,5620,NE corner of 8th and Broad,fogg-school.jpg,,TSLA,Calvin Sneed,https://tnsos.org/tsla/imagesearch/images/27518.jpg (2),,,,,,52.437,43.433
Fort Negley,,1862,extant,"1871, 1903, 1929, 1952",,,testimage1.png,fort-negley.png,, ,,TeVA,,https://teva.contentdm.oclc.org/digital/collection/tpc/id/101,"Kirkpartrick's Hill, Currey's Hill, and St. Cloud Hill dominated the turnpikes approaching Nashville from the south and southeast, especially Franklin Pike, and for this reason the US Army fortified all three hills soon after they occupied the city in February 1862. The most impressive structure, Fort Negley, went to St. Cloud Hill.
Nashville, the logistics hub for US military operations west of the Appalachians, was critical to the Union effort and so became the most heavily fortified city in the country apart from Washington DC. Fort Negley, the biggest inland stone fortification constructed during the war, was a symbol of the importance attached to Nashville.
Approximately 2700 laborers, mainly runaway slaves, built Fort Negley between September and December 1862. A quarter of the workers died during construction due to the harsh conditions. Fort Negley's artillery was used during the Battle of Nashville in 1864, but otherwise the fort played no role in the battle. 
Initially named for General James S. Negley (1826-1901), the fort was renamed Fort Harker in 1865 due to General Negley's questionable performance at the Battle of Chickamauga, but the new name never took hold. 
The US Army abandoned the fort in September 1867, and after the army departed, the hill resumed its role as a popular picnic spot for Nashvillians. During Reconstruction the fort was also the site of Ku Klux Klan meetings.
By the 1930s the fort had deteriorated badly. The Works Progress Adminstration (WPA) financed the restoration of the fort, which reopened in 1938. After the WPA restoration, little effort was made at further upkeep and the fort again decayed. The WPA's replica stockade was torn down in the 1960s, and the fort was closed to the public. Beginning in 2002 the fort was again restored, this time by the City of Nashville, and reopened to the public in 2004.",5193,5953,,,,,,,,,,,,53.817,40.044
Frederick Stump House,,ca 1785,extant,"1871, 1903, 1929, 1952",,,testimage3.png,frederick-stump-house.jpg,,,,Wikipedia,,https://en.wikipedia.org/wiki/Frederick_Stump_House,"Frederick Stump was one of the first European settlers in Nashville, arriving with James Robertson's overland party at French Lick, as Nashville was then called, in December 1779. At some point in the 1780s Stump built this two-story house out of cedar logs, and in 1789 he opened a tavern in the structure. He also operated a gristmill and a sawmill on the same property.",4268,3973,4949 Buena Vista Pike,,,,,,,,,,,44.346,60.206
Gerst Brewery,,1890,1963,"1903, 1929, 1952",,demolished,testimage4.png,gerst-brewery-1.jpg,,,,Brookston Beer Bulletin,,https://brookstonbeerbulletin.com/historic-beer-birthday-william-h-gerst/,"In 1859, to meet demand for a fresher, locally brewed product, German immigrant Jacob Stiefel (or Stifel) began brewing beer at the corner of 6th Avenue South and Mulberry Street. Except for interruptions during the Civil War and Prohibition, beer was brewed at this location until 1954. The brewery underwent a series of ownership and name changes before being bought by Moerlein Brewing of Cincinnati in 1890. Moerlein razed the brewery they had purchased and built the much larger facility shown above. In 1893 William Gerst, who had moved to Nashville from Cincinnati to supervise production for Moerlein, bought his employer's interest in the companyand renamed the company the William Gerst Brewing Company. During Prohibition the company changed its name to the Gerst Bottling Works and survived by producing nonalcoholic beverages and Orange Crush. Beer production resumed when Prohibition ended, but competition from national brands drove Gerst out of business in 1954. The brewery complex was demolished and replaced by a warehouse in 1963.",5197,5829,Corner of 6th Ave S and Mulberry St.,gerst-brewery-2.jpg,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3223,,,,,,53.856,41.307
Glen Echo,,ca 1795,1960s,"1871, 1903, 1929, 1952",,,testimage2.png,glen-echo.jpg,,,,Nashville History blog,,https://nashvillehistory.blogspot.com/2008/09/inglewood-trivia.html,"Glen Echo was Thomas Craighead's second home in Davidson County, built just a few hundred feet north of his first home, a log cabin, which later became known as Evergreen Place. It was demolished to make way for Briley Parkway.",6073,3860,between KMart and Briley Parkway,,,,,,,,,,,62.755,61.405
Glen Leven Presbyterian Church,Community Baptist Church,ca 1891,2004,"1903, 1929, 1952",,,testimage4.png,glen-leven-presbyterian-church-2001.jpg,,,,Nashville Library,,https://cdm15769.contentdm.oclc.org/digital/collection/nr/id/768/rec/2,"During its existence the church at 817 South Douglas Avenue was known as Jesus is the Way Church, Community Baptist Church, Community Missionary Baptist Church and Glen Leven Presbyterian Church. It was demolished in 2004 for the Waverly Place Townhomes.",5095,6270,817 S. Douglas Avenue,,,,,,,,,,,52.823,36.808
Glendale Park Casino,,ca 1901,1930s,"1903, 1929",,,testimage1.png,glendale-park-casino.jpg,,,,Ebay,,https://www.ebay.com/itm/264529127431,"Glendale Park opened by the Nashville Railway and Light Company in 1887 at the end of a trolley line. The company hoped the park would increase ridership on its streetcar lines. Along with a roller rink, a merry-go-round, a zoo, and a shooting gallery, the park operated a casino. The growing use of cars and the Great Depression combined to close the park in 1932.",4892,7064,,,,,,,,,,,,50.772,28.7
"Governor's Mansion, 1st",,circa 1890,circa 1921,1903,,,testimage3.png,governors-mansion-1st.jpg,,,,Nashville Library,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=28782,"Tennessee's first official home for its governors was built around 1890 by banker John P. Williams. Six governors lived in the mansion, spanning the years 1907 to 1921. The legislature in 1919 decided to build a memorial to Tennesseans that served in WWI, and the site selected for what became War Memorial Auditorium included the governor's mansion. A house on West End Avenue deemed suitable as a home for the governor was rented in 1921 and the first governor's mansion was razed.",5028,5511,,,,,,,,,,,,52.13,44.543
"Governor's Mansion, 2nd",,circa 1910,1979,"1929, 1952",,demolished,testimage4.png,governors-mansion-2nd.jpg,, ,,TSLA,,https://cdm15769.contentdm.oclc.org/digital/collection/nr/id/14/rec/1,"The second governor's mansion of Tennessee was built by Christopher Cheek, a wealthy wholesale grocer, and served as the official governor's residence from 1921 to 1949. The state at first rented the house before purchasing it in 1923. By the late 1940s a number of significant repairs were needed, and in 1947 the legislature determined that the house was ""no longer suitable for occupancy as a residence for the chief executive of the state"". The last governor to live in the house was Jim McCord, who left office in January 1949. The structure was replaced in 1979 by a Popeye's Fried Chicken restaurant, which was in turn replaced in the late 1990s by the Caterpillar Financial Services building.",4674,5837,,,,,,,,,,,,48.521,41.217
"Governor's Mansion, 3rd",,1931,extant,1952,,,testimage1.png,governors-mansion-3rd-1955.png,1955, ,,TeVA,,https://teva.contentdm.oclc.org/digital/collection/p15138coll28/id/557/rec/26,"Far Hills, the house that became Tennessee's third and current executive residence, was built for William Ridley Wills (1871-1949), the founder of the National Life and Accident Insurance Company. The previous governor's residence having been declared unsuitable for occupancy in 1947, the state began looking for a replacement. Three homes then on the market were considered before the state purchased the Wills home in 1949. ",5172,7193,,,,,,,,,,,,53.63,27.389
Grundy Place,Polk Place,ca 1820,1901,1871,,demolished,testimage4.png,grundy-place-polk-place.png,,yes,,TSLA,,https://teva.contentdm.oclc.org/digital/collection/p15138coll43/id/5/rec/460,"Polk Place was built by congressman, senator, and US attorney general Felix Grundy sometime between 1815 and 1820, and was originally known as Grundy Place. James K. Polk bought the house in 1847 before leaving the presidency and had it extensively remodeled. The house was finally ready for occupancy in May 1849, and the Polks moved in about a month before Polk passed away. Polk's widow, Sarah, lived in the house for another 40 years until her death in 1891. After a legal dispute among Polk family members over what to do with the property, the house was sold to a developer who demolished it to build an apartment building. The site is now occupied by the Capitol Hotel.",5024,5545,,,,,,,,,,,,52.089,44.196
Hall-Harding-McCampbell House,,circa 1805,extant,"1871, 1903, 1929, 1952",,,testimage2.png,mccampbell-house.jpg,,,,Historic Nashville,,https://www.historicnashvilleinc.org/2017/10/23/hall-harding-mccampbell-house-restoration/,"Built by William Hall, the house was the center of a plantation that had several owners and varied in size in the years before 1852. In that year the McCampbell family purchased the property, and it stayed in that family until the 1940s. It was restored in 2016.",7233,5639,305 Kent Road,,,,,,,,,,,74.617,43.28
Hermitage,,1835,extant,"1871, 1903, 1929, 1952",,,testimage1.png,hermitage-1953.png,1953, ,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=19181,"Andrew and Rachel Jackson bought the 425-acre farm that would become the Hermitage in 1804. They lived in a two-story blockhouse built by the previous owner to resist Indian attacks. Jackson began farming  at the Hermitage with nine slaves, a number that grew to 110 by the time of his death in 1845. 
In 1819 the Jacksons began building a grander, two-story Federal-style residence in a location on the property chosen by Rachel. The blocks for the limestone foundation were quarried on the plantation, and the bricks were made on-site from clay dug out of a nearby field. In 1831, after Rachel's death and during Jackson's first presidential term, the house was enlarged by adding one-story wings to each side of the original structure and a one-story portico with 10 columns. A chimney fire three years later did severe damage to the house, gutting the interior. For the rebuilt Hermitage, Jackson chose to replicate the 1831 structure but added a two-story Greek revival style portico to its front. It was finished in 1836, shortly before the end of his second term.
When Jackson died in 1845, his adopted son, Andrew Jackson Jr., inherited the plantation, but financial reversals forced him to sell it to the State of Tennessee in 1856. Over the next 33 years, a number of uses were considered for the property, including a southern branch of the West Point military academy. Finally, in 1889 the state handed the house and 25 acres over to the Ladies' Hermitage Association, a group founded to preserve the  house and grounds.",8072,4377,,hermitage-1967.png,1967,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=19369,,,,,,83.151,56.168
Hermitage Hotel,,1910,extant,"1929, 1952",,,testimage2.png,hermitage-hotel.jpg,,,,Nashville Retrospect,,https://nashretro.libsyn.com/12-early-tv-hermitage-hotel-wwii-marriage-near-you-and-music-city-usa-march-2019-issue,"The Hermitage Hotel was designed by Mt. Pleasant native J. Edwin Carpenter, who went on to design dozens of high-end apartment buildings along Park and 5th Avenues in Manhattan. In 1920 both the pro- and anti-suffrage factions made the hotel their base while the Tennessee legislature debated the passage of the 19th Amendment four blocks away. Suffrage supporters wearing yellow roses and opponents wearing red roses engaged in frequent confrontations inside the hotel. From 1925 to 1947, Francis Craig, author of the number one song of 1947, ""Near You"", led his orchestra in the Grille Room. The hotel's art deco men's room was voted the best bathroom in America in 2009. In 1977 the Hemitage Hotel closed, with demolition a real possibility, but was ultimately restored and reopened as a hotel in 1981.",5051,5529,,,,,,,,,,,,52.365,44.359
Holly Street Firehouse,,1914,extant,"1929, 1952",,,testimage3.png,holly-street-firehouse-1917.png,1917,yes,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3136,"The Holly Street Firehouse was intended by the city architect to blend into its residential neighborhood. It was the first fire station in Nashville to be designed for motorized fire trucks and is the last active fire station with a brass fire pole. The building was heavily damaged by the March 2020 tornado, losing its roof. It has since been restored.",5786,5268,,holly-street-firehouse-1949.jpg,1949,Nashville Library,,https://cdm15769.contentdm.oclc.org/digital/collection/nr/id/139/rec/1,,,,,,59.851,47.042
